player,team,cap_hit,years_remaining,total_remaining,apron_status,source,as_of
Shai Gilgeous-Alexander,OKC,38.3,5,217.3,below,curated-2026-07,2026-07-06
Chet Holmgren,OKC,13.7,6,263.7,below,curated-2026-07,2026-07-06
Jalen Williams,OKC,6.6,6,293.7,below,curated-2026-07,2026-07-06
Nikola Jokic,DEN,55.2,3,179.3,first,curated-2026-07,2026-07-06
Jamal Murray,DEN,46.4,4,208.0,first,curated-2026-07,2026-07-06
Jayson Tatum,BOS,54.1,5,313.9,second,curated-2026-07,2026-07-06
Jaylen Brown,BOS,53.1,4,236.3,second,curated-2026-07,2026-07-06
Derrick White,BOS,28.1,4,125.9,second,curated-2026-07,2026-07-06
Stephen Curry,GSW,59.6,2,122.2,first,curated-2026-07,2026-07-06
Jimmy Butler,GSW,54.1,2,111.0,first,curated-2026-07,2026-07-06
LeBron James,LAL,52.6,1,52.6,first,curated-2026-07,2026-07-06
Luka Doncic,LAL,45.9,3,165.0,first,curated-2026-07,2026-07-06
Anthony Davis,DAL,54.1,3,175.4,first,curated-2026-07,2026-07-06
Kyrie Irving,DAL,36.7,3,119.0,first,curated-2026-07,2026-07-06
Kevin Durant,HOU,54.7,2,121.0,first,curated-2026-07,2026-07-06
Alperen Sengun,HOU,33.9,4,151.0,first,curated-2026-07,2026-07-06
Devin Booker,PHX,53.1,4,224.0,second,curated-2026-07,2026-07-06
Jalen Brunson,NYK,34.9,4,156.5,second,curated-2026-07,2026-07-06
Karl-Anthony Towns,NYK,53.1,3,171.2,second,curated-2026-07,2026-07-06
Mikal Bridges,NYK,24.9,5,174.9,second,curated-2026-07,2026-07-06
Donovan Mitchell,CLE,46.4,3,150.3,second,curated-2026-07,2026-07-06
Evan Mobley,CLE,46.6,5,269.1,second,curated-2026-07,2026-07-06
Giannis Antetokounmpo,MIL,54.1,3,175.4,first,curated-2026-07,2026-07-06
Anthony Edwards,MIN,45.6,4,208.0,second,curated-2026-07,2026-07-06
Rudy Gobert,MIN,35.0,3,110.0,second,curated-2026-07,2026-07-06
Joel Embiid,PHI,55.2,4,240.8,first,curated-2026-07,2026-07-06
Paul George,PHI,51.7,3,162.4,first,curated-2026-07,2026-07-06
Tyrese Maxey,PHI,37.9,4,171.0,first,curated-2026-07,2026-07-06
Victor Wembanyama,SAS,13.4,2,30.2,below,curated-2026-07,2026-07-06
De'Aaron Fox,SAS,37.1,5,266.0,below,curated-2026-07,2026-07-06
Cade Cunningham,DET,46.4,5,269.1,below,curated-2026-07,2026-07-06
Tyrese Haliburton,IND,45.6,4,208.0,below,curated-2026-07,2026-07-06
Paolo Banchero,ORL,15.3,6,302.7,first,curated-2026-07,2026-07-06
Franz Wagner,ORL,38.7,5,224.3,first,curated-2026-07,2026-07-06
Ja Morant,MEM,39.4,3,126.4,below,curated-2026-07,2026-07-06
Kawhi Leonard,LAC,50.0,2,102.8,below,curated-2026-07,2026-07-06
Bam Adebayo,MIA,37.1,4,190.0,below,curated-2026-07,2026-07-06
Zion Williamson,NOP,39.4,3,126.5,below,curated-2026-07,2026-07-06
Trae Young,ATL,46.0,2,94.8,below,curated-2026-07,2026-07-06
Isaiah Hartenstein,OKC,30.0,2,63.0,below,curated-2026-07,2026-07-06
Alex Caruso,OKC,20.0,2,42.0,below,curated-2026-07,2026-07-06
Luguentz Dort,OKC,16.2,3,52.5,below,curated-2026-07,2026-07-06
Aaron Wiggins,OKC,11.5,3,37.3,below,curated-2026-07,2026-07-06
Aaron Gordon,DEN,24.7,2,51.9,first,curated-2026-07,2026-07-06
Cameron Johnson,DEN,22.5,3,72.9,first,curated-2026-07,2026-07-06
Christian Braun,DEN,19.4,4,85.4,first,curated-2026-07,2026-07-06
Peyton Watson,DEN,3.9,2,8.2,first,curated-2026-07,2026-07-06
Anfernee Simons,BOS,27.7,1,27.7,second,curated-2026-07,2026-07-06
Payton Pritchard,BOS,11.4,3,36.9,second,curated-2026-07,2026-07-06
Luke Kornet,BOS,10.0,2,21.0,second,curated-2026-07,2026-07-06
Draymond Green,GSW,25.8,2,54.2,first,curated-2026-07,2026-07-06
Al Horford,GSW,11.0,1,11.0,first,curated-2026-07,2026-07-06
Jonathan Kuminga,GSW,7.8,1,7.8,first,curated-2026-07,2026-07-06
Buddy Hield,GSW,9.0,2,18.9,first,curated-2026-07,2026-07-06
Austin Reaves,LAL,13.9,3,45.0,first,curated-2026-07,2026-07-06
Rui Hachimura,LAL,17.0,1,17.0,first,curated-2026-07,2026-07-06
Deandre Ayton,LAL,8.0,1,8.0,first,curated-2026-07,2026-07-06
Marcus Smart,LAL,5.0,1,5.0,first,curated-2026-07,2026-07-06
Klay Thompson,DAL,16.6,2,34.9,first,curated-2026-07,2026-07-06
P.J. Washington,DAL,22.0,3,71.3,first,curated-2026-07,2026-07-06
Daniel Gafford,DAL,18.1,2,38.0,first,curated-2026-07,2026-07-06
Cooper Flagg,DAL,13.9,4,61.2,first,curated-2026-07,2026-07-06
Jabari Smith Jr.,HOU,24.0,4,105.6,first,curated-2026-07,2026-07-06
Amen Thompson,HOU,9.6,1,9.6,first,curated-2026-07,2026-07-06
Reed Sheppard,HOU,8.9,3,28.8,first,curated-2026-07,2026-07-06
Steven Adams,HOU,4.4,1,4.4,first,curated-2026-07,2026-07-06
Jalen Green,PHX,25.8,2,54.2,second,curated-2026-07,2026-07-06
Dillon Brooks,PHX,21.5,2,45.1,second,curated-2026-07,2026-07-06
Grayson Allen,PHX,17.5,3,56.7,second,curated-2026-07,2026-07-06
Mark Williams,PHX,14.0,2,29.4,second,curated-2026-07,2026-07-06
Royce O'Neale,PHX,9.5,1,9.5,second,curated-2026-07,2026-07-06
OG Anunoby,NYK,42.5,3,137.7,second,curated-2026-07,2026-07-06
Josh Hart,NYK,20.0,2,42.0,second,curated-2026-07,2026-07-06
Miles McBride,NYK,9.8,3,31.6,second,curated-2026-07,2026-07-06
Darius Garland,CLE,41.0,3,132.8,second,curated-2026-07,2026-07-06
Jarrett Allen,CLE,32.0,2,67.2,second,curated-2026-07,2026-07-06
De'Andre Hunter,CLE,22.4,2,47.0,second,curated-2026-07,2026-07-06
Max Strus,CLE,16.0,2,33.6,second,curated-2026-07,2026-07-06
Myles Turner,MIL,26.8,3,86.7,first,curated-2026-07,2026-07-06
Kyle Kuzma,MIL,24.9,1,24.9,first,curated-2026-07,2026-07-06
Bobby Portis,MIL,12.6,1,12.6,first,curated-2026-07,2026-07-06
Gary Trent Jr.,MIL,10.0,2,21.0,first,curated-2026-07,2026-07-06
Taurean Prince,MIL,4.5,1,4.5,first,curated-2026-07,2026-07-06
Julius Randle,MIN,30.9,2,64.9,second,curated-2026-07,2026-07-06
Jaden McDaniels,MIN,24.4,4,107.4,second,curated-2026-07,2026-07-06
Naz Reid,MIN,14.0,2,29.4,second,curated-2026-07,2026-07-06
Mike Conley,MIN,10.8,1,10.8,second,curated-2026-07,2026-07-06
VJ Edgecombe,PHI,12.4,3,40.2,first,curated-2026-07,2026-07-06
Kelly Oubre Jr.,PHI,8.3,1,8.3,first,curated-2026-07,2026-07-06
Quentin Grimes,PHI,8.0,2,16.8,first,curated-2026-07,2026-07-06
Devin Vassell,SAS,29.2,3,94.6,below,curated-2026-07,2026-07-06
Stephon Castle,SAS,10.4,3,33.7,below,curated-2026-07,2026-07-06
Harrison Barnes,SAS,18.0,1,18.0,below,curated-2026-07,2026-07-06
Keldon Johnson,SAS,15.8,2,33.2,below,curated-2026-07,2026-07-06
Jalen Duren,DET,20.0,4,88.0,below,curated-2026-07,2026-07-06
Tobias Harris,DET,26.0,1,26.0,below,curated-2026-07,2026-07-06
Ausar Thompson,DET,9.3,1,9.3,below,curated-2026-07,2026-07-06
Jaden Ivey,DET,8.5,2,17.9,below,curated-2026-07,2026-07-06
Isaiah Stewart,DET,15.0,2,31.5,below,curated-2026-07,2026-07-06
Pascal Siakam,IND,47.3,3,153.3,below,curated-2026-07,2026-07-06
Bennedict Mathurin,IND,29.0,3,94.0,below,curated-2026-07,2026-07-06
T.J. McConnell,IND,9.0,2,18.9,below,curated-2026-07,2026-07-06
Andrew Nembhard,IND,23.0,3,74.5,below,curated-2026-07,2026-07-06
Obi Toppin,IND,15.0,2,31.5,below,curated-2026-07,2026-07-06
Desmond Bane,ORL,37.9,3,122.8,first,curated-2026-07,2026-07-06
Jalen Suggs,ORL,30.0,3,97.2,first,curated-2026-07,2026-07-06
Anthony Black,ORL,8.0,2,16.8,first,curated-2026-07,2026-07-06
Goga Bitadze,ORL,6.8,2,14.3,first,curated-2026-07,2026-07-06
Jaren Jackson Jr.,MEM,34.0,2,71.4,below,curated-2026-07,2026-07-06
Zach Edey,MEM,9.9,2,20.8,below,curated-2026-07,2026-07-06
Santi Aldama,MEM,10.2,2,21.5,below,curated-2026-07,2026-07-06
Brandon Clarke,MEM,12.5,2,26.2,below,curated-2026-07,2026-07-06
James Harden,LAC,36.3,1,36.3,below,curated-2026-07,2026-07-06
Ivica Zubac,LAC,20.7,2,43.5,below,curated-2026-07,2026-07-06
Bogdan Bogdanovic,LAC,9.5,1,9.5,below,curated-2026-07,2026-07-06
