player,season,games,minutes,epm,bpm
Shai Gilgeous-Alexander,2025-26,76,2600,8.2,
Chet Holmgren,2025-26,68,2100,3.4,
Jalen Williams,2025-26,74,2500,4.6,
Nikola Jokic,2025-26,74,2550,8.8,
Jamal Murray,2025-26,65,2150,1.9,
Jayson Tatum,2025-26,12,380,2.5,
Jaylen Brown,2025-26,70,2450,3.1,
Derrick White,2025-26,74,2400,3.6,
Stephen Curry,2025-26,62,2000,4.1,
Jimmy Butler,2025-26,58,1900,2.8,
LeBron James,2025-26,55,1850,3.2,
Luka Doncic,2025-26,70,2500,6.1,
Anthony Davis,2025-26,50,1700,2.9,
Kyrie Irving,2025-26,20,640,,1.5
Kevin Durant,2025-26,66,2350,3.4,
Alperen Sengun,2025-26,74,2500,3.8,
Devin Booker,2025-26,71,2500,2.6,
Jalen Brunson,2025-26,72,2500,4.9,
Karl-Anthony Towns,2025-26,68,2300,2.9,
Mikal Bridges,2025-26,78,2800,1.4,
Donovan Mitchell,2025-26,70,2400,4.7,
Evan Mobley,2025-26,73,2500,4.4,
Giannis Antetokounmpo,2025-26,67,2300,6.6,
Anthony Edwards,2025-26,77,2750,5.2,
Rudy Gobert,2025-26,69,2250,2.2,
Joel Embiid,2025-26,30,900,2.1,
Paul George,2025-26,44,1400,0.6,
Tyrese Maxey,2025-26,72,2650,2.4,
Victor Wembanyama,2025-26,71,2400,6.9,
De'Aaron Fox,2025-26,66,2300,1.8,
Cade Cunningham,2025-26,75,2650,4.2,
Tyrese Haliburton,2025-26,0,0,,
Paolo Banchero,2025-26,70,2450,2.3,
Franz Wagner,2025-26,74,2600,3.1,
Ja Morant,2025-26,52,1600,1.7,
Kawhi Leonard,2025-26,57,1900,3.9,
Bam Adebayo,2025-26,74,2500,3.0,
Zion Williamson,2025-26,48,1500,2.6,
Trae Young,2025-26,70,2500,,2.0
